Position,Player Name,Team Name,Nationality,Height,Weight,Age,Condition,Overall Rating

CF,C. RONALDO,PM BLACK WHITE,PORTUGAL,185,80,33,C,94
SS,L. MESSI,BARCELONA,ARGENTINA,170,72,31,C,94
LWF,NEYMAR,PSG,BRAZIL,175,68,26,C,93
GK,DAVID DE GEA,MAN RED,SPAIN,192,76,28,C,91
GK,M. NEUER,Free Agents,GERMANY,193,92,32,C,90
CF,L. SUÁREZ,BARCELONA,URUGUAY,182,86,31,C,90
CMF,T. KROOS,MD WHITE,GERMANY,182,78,28,C,90
LWF,E. HAZARD,LONDON FC,BELGIUM,173,76,27,C,90
CF,R. LEWANDOWSKI,Free Agents,POLAND,185,79,30,C,90
CF,A. GRIEZMANN,KB RED WHITE,FRANCE,174,72,27,C,90
AMF,K. DE BRUYNE,MAN BLUE,BELGIUM,181,68,27,C,90
RWF,M. SALAH,LIVERPOOL,EGYPT,175,71,26,C,90
CB,SERGIO RAMOS,MD WHITE,SPAIN,183,75,32,C,89
CMF,L. MODRIĆ,MD WHITE,CROATIA,174,65,33,C,89
CF,E. CAVANI,PSG,URUGUAY,184,71,31,C,89
CB,M. HUMMELS,Free Agents,GERMANY,191,92,30,C,89
GK,J. OBLAK,KB RED WHITE,SLOVENIA,188,77,25,C,89
CF,H. KANE,NORTH EAST LONDON,ENGLAND,188,76,25,C,89
CB,PIQUÉ,BARCELONA,SPAIN,194,85,31,C,88
CF,G. HIGUAÍN,MILAN,ARGENTINA,184,82,31,C,88
CF,S. AGÜERO,MAN BLUE,ARGENTINA,173,70,30,C,88
LB,MARCELO,MD WHITE,BRAZIL,174,75,30,C,88
RWF,G. BALE,MD WHITE,WALES,183,74,29,C,88
CF,P. AUBAMEYANG,ARSENAL,GABON,187,80,29,C,88
LWF,P. COUTINHO,BARCELONA,BRAZIL,171,71,26,C,88
SS,P. DYBALA,PM BLACK WHITE,ARGENTINA,177,74,25,C,88
GK,M. TER STEGEN,BARCELONA,GERMANY,187,85,26,C,88
CMF,INIESTA,Free Agents,SPAIN,171,68,34,C,87
GK,H. LLORIS,NORTH EAST LONDON,FRANCE,188,78,32,C,87
CB,G. CHIELLINI,PM BLACK WHITE,ITALY,187,84,34,C,87
CF,K. BENZEMA,MD WHITE,FRANCE,185,79,31,C,87
AMF,DAVID SILVA,MAN BLUE,SPAIN,173,67,32,C,87

CB,D. GODÍN,KB RED WHITE,URUGUAY,186,78,32,C,87
CMF,A. VIDAL,BARCELONA,CHILE,180,75,31,C,87
LWF,A. SÁNCHEZ,MAN RED,CHILE,169,62,30,C,87
CF,DIEGO COSTA,KB RED WHITE,SPAIN,188,85,30,C,87
AMF,M. ÖZIL,ARSENAL,GERMANY,180,76,30,C,87
DMF,SERGIO BUSQUETS,BARCELONA,SPAIN,189,76,30,C,87
CB,THIAGO SILVA,PSG,BRAZIL,183,79,34,C,87
CF,R. LUKAKU,MAN RED,BELGIUM,190,94,25,C,87
CB,J. BOATENG,Free Agents,GERMANY,192,90,30,C,87
LWF,DOUGLAS COSTA,PM BLACK WHITE,BRAZIL,170,65,28,C,87
AMF,C. ERIKSEN,NORTH EAST LONDON,DENMARK,175,71,26,C,87
CMF,THIAGO A.,Free Agents,SPAIN,174,70,27,C,87
AMF,J. RODRÍGUEZ,Free Agents,COLOMBIA,180,75,27,C,87
DMF,CASEMIRO,MD WHITE,BRAZIL,184,80,26,C,87
GK,T. COURTOIS,MD WHITE,BELGIUM,199,94,26,C,87
CB,V. VAN DIJK,LIVERPOOL,NETHERLANDS,193,92,27,C,87
CB,S. UMTITI,BARCELONA,FRANCE,182,75,25,C,87
LWF,M. REUS,Free Agents,GERMANY,180,71,29,C,87
CF,M. ICARDI,INTERNAZIONALE,ARGENTINA,181,75,25,C,87
